Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Mapping type,Mapped identifier,Mapped label,Mapped type,Theme
1,Advice and benefits,,4/3/13,4/3/13,,Function,,,,,,,Society
2,Advice and welfare rights,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,190,Benefits advice and assessment,Service,Society
2,Advice and welfare rights,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,328,Bereavement support,Service,Society
2,Advice and welfare rights,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,352,Credit unions,Service,Society
2,Advice and welfare rights,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,651,Debt counselling,Service,Society
2,Advice and welfare rights,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1520,Debt enforcement,Service,Society
2,Advice and welfare rights,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,671,Funeral payment,Service,Society
2,Advice and welfare rights,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,311,Law - wills and testaments - advice,Service,Society
2,Advice and welfare rights,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,676,Legal advice,Service,Society
2,Advice and welfare rights,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,189,Welfare rights advice,Service,Society
2,Advice and welfare rights,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,688,Witness support,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,726,Benefit fraud,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,923,Child maintenance payments,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,61,Council tax band reductions,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,65,Council tax benefit appeals,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,62,Council tax benefit backdated claims,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,64,Council tax benefit current claim,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,63,Council tax benefit new claim,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,66,Council tax benefit overpayments,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,67,Council tax benefit renewal,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,59,Council tax discount,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,143,Decoration and disturbance allowances,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,137,Disabled facilities grant,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,23,Education - grants - education maintenance award,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,25,Education - loans - student loan,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1534,Employment & support allowance,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,4,Free school meals,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,832,Going into hospital,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,158,Home purchase grants,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,136,Home repair assistance grant,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,72,Housing benefit appeals,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,68,Housing benefit backdated claims,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,70,Housing benefit current claim,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,69,Housing benefit new claim,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,71,Housing benefit overpayments,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,73,Housing benefit renewal,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1545,Jobseekers allowance,Service,Society
