Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Mapping type,Mapped identifier,Mapped label,Mapped type,Theme
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,50,Nursery education grant,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,142,Overdue housing repairs - discretionary allowance,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1055,Rent determination,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,2,School clothing grants/vouchers,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,3,School transport - additional support,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1360,Starting work benefits,Service,Society
3,Benefits,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1652,Universal credit,Service,Society
4,Community support,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1654,Armed forces community covenant,Service,Society
4,Community support,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1047,Council - common good funds,Service,Society
4,Community support,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,169,Translation and interpreting,Service,Society
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1402,Community equipment loans,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,755,Community facility grants,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,871,Community grants,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1059,Crofting and rural house purchase grants,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1159,Cultural grants,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1148,Discretionary Housing Payment,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,888,Early years grant,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,857,Financial assistance for housing associations,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1155,Gifted and talented awards,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,615,Grants for voluntary organisations,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,858,Home improvement loans,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,433,Home renovation grants,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,269,Keeping warm in winter,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,308,Law - legal aid,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1147,Local Housing Allowance,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1154,Private tenants rent assistance,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,926,Safeguarding children grants,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1056,Special needs capital grants,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,455,Sporting club grants,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,639,Sports grants,Service,Government spending
5,Grants and aid,,4/3/13,4/3/13,,Function,1,Advice and benefits,contains,1116,Youth Opportunity Fund,Service,Government spending
6,Business and employment,,4/3/13,4/3/13,,Function,,,,,,,Business and economy
7,Business advice and support,,4/3/13,4/3/13,,Function,6,Business and employment,contains,685,Business - exporters' forums,Service,Business and economy
7,Business advice and support,,4/3/13,4/3/13,,Function,6,Business and employment,contains,349,Business advice,Service,Business and economy
7,Business advice and support,,4/3/13,4/3/13,,Function,6,Business and employment,contains,914,Business continuity advice,Service,Business and economy
7,Business advice and support,,4/3/13,4/3/13,,Function,6,Business and employment,contains,351,Business co-operatives,Service,Business and economy
7,Business advice and support,,4/3/13,4/3/13,,Function,6,Business and employment,contains,1036,Business directories,Service,Business and economy
7,Business advice and support,,4/3/13,4/3/13,,Function,6,Business and employment,contains,692,Business security advice,Service,Business and economy
7,Business advice and support,,4/3/13,4/3/13,,Function,6,Business and employment,contains,1139,Business sponsorship opportunities,Service,Business and economy
7,Business advice and support,,4/3/13,4/3/13,,Function,6,Business and employment,contains,820,Land and property valuations,Service,Business and economy
7,Business advice and support,,4/3/13,4/3/13,,Function,6,Business and employment,contains,1035,Municipal banking,Service,Business and economy
7,Business advice and support,,4/3/13,4/3/13,,Function,6,Business and employment,contains,622,Support for tourism businesses,Service,Business and economy
8,Business grants,,4/3/13,4/3/13,,Function,6,Business and employment,contains,690,Business awards,Service,Business and economy
8,Business grants,,4/3/13,4/3/13,,Function,6,Business and employment,contains,350,Business grants,Service,Business and economy
8,Business grants,,4/3/13,4/3/13,,Function,6,Business and employment,contains,693,Business security grants,Service,Business and economy
8,Business grants,,4/3/13,4/3/13,,Function,6,Business and employment,contains,900,Commercial property development,Service,Business and economy
9,Business rates,,4/3/13,4/3/13,,Function,6,Business and employment,contains,55,Business rate relief,Service,Business and economy
9,Business rates,,4/3/13,4/3/13,,Function,6,Business and employment,contains,1672,Business rate supplement,Service,Business and economy
9,Business rates,,4/3/13,4/3/13,,Function,6,Business and employment,contains,56,Business rates account enquiries,Service,Business and economy
9,Business rates,,4/3/13,4/3/13,,Function,6,Business and employment,contains,54,Business rates annual notification,Service,Business and economy
10,Careers and employment,,4/3/13,4/3/13,,Function,6,Business and employment,contains,887,Careers advice,Service,Business and economy
10,Careers and employment,,4/3/13,4/3/13,,Function,6,Business and employment,contains,337,Current vacancies,Service,Business and economy
10,Careers and employment,,4/3/13,4/3/13,,Function,6,Business and employment,contains,299,Disabled people - employment advice,Service,Business and economy
10,Careers and employment,,4/3/13,4/3/13,,Function,6,Business and employment,contains,343,Employment and training initiatives,Service,Business and economy
10,Careers and employment,,4/3/13,4/3/13,,Function,6,Business and employment,contains,846,Environmental health placements,Service,Business and economy
10,Careers and employment,,4/3/13,4/3/13,,Function,6,Business and employment,contains,344,Equal opportunities advice,Service,Business and economy
10,Careers and employment,,4/3/13,4/3/13,,Function,6,Business and employment,contains,638,Sports employment,Service,Business and economy
11,Commercial property,,4/3/13,4/3/13,,Function,6,Business and employment,contains,1618,Business centres,Service,Business and economy
11,Commercial property,,4/3/13,4/3/13,,Function,6,Business and employment,contains,93,Commercial lettings,Service,Business and economy
11,Commercial property,,4/3/13,4/3/13,,Function,6,Business and employment,contains,677,Vacant land and property,Service,Business and economy
12,Health and safety,,4/3/13,4/3/13,,Function,6,Business and employment,contains,429,Accident reporting,Service,Business and economy
12,Health and safety,,4/3/13,4/3/13,,Function,6,Business and employment,contains,811,Construction site fire safety,Service,Business and economy
12,Health and safety,,4/3/13,4/3/13,,Function,6,Business and employment,contains,421,Health and safety - prosecutions register,Service,Business and economy
12,Health and safety,,4/3/13,4/3/13,,Function,6,Business and employment,contains,419,Health and safety regulation,Service,Business and economy
12,Health and safety,,4/3/13,4/3/13,,Function,6,Business and employment,contains,422,Health and safety training,Service,Business and economy
12,Health and safety,,4/3/13,4/3/13,,Function,6,Business and employment,contains,718,Occupational health services,Service,Business and economy
12,Health and safety,,4/3/13,4/3/13,,Function,6,Business and employment,contains,1673,Safety of disused mines and tips,Service,Business and economy
12,Health and safety,,4/3/13,4/3/13,,Function,6,Business and employment,contains,752,Work health and safety advice and training,Service,Business and economy
13,Regeneration,,4/3/13,4/3/13,,Function,6,Business and employment,contains,1693,Business improvement districts (BID),Service,Business and economy
13,Regeneration,,4/3/13,4/3/13,,Function,6,Business and employment,contains,714,Compulsory property acquisition,Service,Business and economy
13,Regeneration,,4/3/13,4/3/13,,Function,6,Business and employment,contains,348,Economic reports and forecasts,Service,Business and economy
13,Regeneration,,4/3/13,4/3/13,,Function,6,Business and employment,contains,824,European and other funding,Service,Business and economy
13,Regeneration,,4/3/13,4/3/13,,Function,6,Business and employment,contains,754,Land reclamation,Service,Business and economy
13,Regeneration,,4/3/13,4/3/13,,Function,6,Business and employment,contains,347,Local economic development,Service,Business and economy
13,Regeneration,,4/3/13,4/3/13,,Function,6,Business and employment,contains,823,Regeneration projects,Service,Business and economy
13,Regeneration,,4/3/13,4/3/13,,Function,6,Business and employment,contains,715,Voluntary property acquisition,Service,Business and economy
14,Tenders and contracts,,4/3/13,4/3/13,,Function,6,Business and employment,contains,369,Approved suppliers,Service,Government spending
14,Tenders and contracts,,4/3/13,4/3/13,,Function,6,Business and employment,contains,828,Procurement - contracts lists,Service,Government spending
14,Tenders and contracts,,4/3/13,4/3/13,,Function,6,Business and employment,contains,829,Procurement - contracts management,Service,Government spending
14,Tenders and contracts,,4/3/13,4/3/13,,Function,6,Business and employment,contains,830,Procurement policy,Service,Government spending
15,Trading standards,,4/3/13,4/3/13,,Function,6,Business and employment,contains,787,Consumer advice,Service,Business and economy
15,Trading standards,,4/3/13,4/3/13,,Function,6,Business and employment,contains,789,Fair trading,Service,Business and economy
15,Trading standards,,4/3/13,4/3/13,,Function,6,Business and employment,contains,791,Food labelling,Service,Business and economy
15,Trading standards,,4/3/13,4/3/13,,Function,6,Business and employment,contains,399,Illegal street trading,Service,Business and economy
15,Trading standards,,4/3/13,4/3/13,,Function,6,Business and employment,contains,402,Product safety,Service,Business and economy
15,Trading standards,,4/3/13,4/3/13,,Function,6,Business and employment,contains,403,Retail trading standards,Service,Business and economy
15,Trading standards,,4/3/13,4/3/13,,Function,6,Business and employment,contains,1127,Trader approval schemes,Service,Business and economy
15,Trading standards,,4/3/13,4/3/13,,Function,6,Business and employment,contains,401,Trading standards advice to businesses,Service,Business and economy
15,Trading standards,,4/3/13,4/3/13,,Function,6,Business and employment,contains,1110,Trading standards education,Service,Business and economy
15,Trading standards,,4/3/13,4/3/13,,Function,6,Business and employment,contains,1125,Under age sales,Service,Business and economy
15,Trading standards,,4/3/13,4/3/13,,Function,6,Business and employment,contains,404,Weights and measures,Service,Business and economy
16,Community safety,,4/3/13,4/3/13,,Function,,,,,,,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1696,Anti-social behaviour order,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1091,Bail accommodation,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1092,Bail information,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1093,Bail supervision,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1096,Community Reparation Orders,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1097,Community service orders,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1098,Court fines - supervision of payment,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1129,District Courts,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1099,Diversion from prosecution,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1100,Drug treatment and testing orders,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1101,Intensive support and monitoring,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1102,Means Enquiry reports,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1103,Parole reports,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1104,Probation orders,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1105,Social Enquiry reports,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1106,Supervising attendance orders,Service,Crime and justice
17,Criminal justice,,4/3/13,4/3/13,,Function,16,Community safety,contains,1107,Throughcare,Service,Crime and justice
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,946,Air ambulance,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,938,Air rescue,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,941,Cave rescue,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,793,Civil emergencies - flooding,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,794,Civil emergencies - gas pipelines,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,792,Civil emergencies - major accident hazards,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,729,Civil emergencies - social and psychological support,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,1308,Current emergency situations - civil,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,1287,Current emergency situations - health,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,1307,Current emergency situations - weather,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,703,Emergency plan,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,932,Emergency veterinary services,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,1612,Flood prevention,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,1033,Inshore rescue,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,935,Major incident clean up/repair,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,934,Major incident response,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,942,Medical control,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,943,Medical emergency response,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,939,Mountain rescue,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,940,Offshore rescue,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,931,Road traffic accidents,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,933,Severe weather warnings,Service,Government
18,Emergencies,,4/3/13,4/3/13,,Function,16,Community safety,contains,944,Water/flood rescue,Service,Government
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,1603,Arson investigation,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,800,Arson reduction,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,1474,Attending arson incidents,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,801,Attending automatic fire alarms,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,815,Attending fires,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,802,Community fire safety,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,1609,Fire and rescue - operational assurance,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,1610,Fire and rescue - risk management,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,1605,Fire and rescue incident investigation,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,805,Fire certificates - factories,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,808,Fire certificates - hotels/boarding houses,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,806,Fire certificates - offices,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,807,Fire certificates - shops,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,818,Fire hydrants maintenance,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,804,Fire regulations - business enforcement,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,803,Fire regulations - residential enforcement,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,1608,Fire risk assessment - commercial property,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,1119,Fire risk assessment - residential property,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,812,Fire safety education,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,809,Fire warden/commercial training,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,1604,Firework incident research,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,798,Hazardous chemical (HAZCHEM) incidents,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,1602,Home fire safety equipment,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,816,Post-incident support,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,1606,Private fire hydrants inspection,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,795,Radioactive materials storage and transport,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,814,Railway fire certificates,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,819,Securing premises after fire,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,817,Specialist rescue services,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,1607,Water network extensions,Service,Society
19,Fire safety,,4/3/13,4/3/13,,Function,16,Community safety,contains,813,Workplace fire regulations,Service,Society
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,657,Alley gating,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,1600,Burglar alarm keyholder registration,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,870,Community safety,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,1044,Community wardens,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,1689,Designated public places order,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,1133,Hate crime,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,423,Home safety advice,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,937,Home security assessment,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,1156,Neighbourhood policing,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,930,Neighbourhood watch,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,164,Protection from harassment,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,368,Release of CCTV evidence,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,498,Town centre CCTV,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,497,Town centre crime prevention,Service,Crime and justice
21,Neighbourhood security,,4/3/13,4/3/13,,Function,16,Community safety,contains,586,Vandalism prevention,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1483,Anti-social behaviour  - solvent abuse,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1480,Anti-social behaviour - begging and vagrancy,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1481,Anti-social behaviour - hoax or false calls to emergency services,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1484,Anti-social behaviour - inconsiderate or nuisance,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1485,Anti-social behaviour - neighbour nuisance,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1486,Anti-social behaviour - street drinking,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1487,Anti-social behaviour - vehicle,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1482,Anti-social behaviour -malicious or nuisance communication,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,948,Crime investigation,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,947,Crime prevention,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1476,Criminal damage - dwelling,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1477,Criminal damage - non-domestic building,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1479,Criminal damage - non-specific,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1478,Criminal damage - property,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,1475,Criminal damage - vehicle,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,607,Demonstrations and parades permission,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,949,Firearms certificates,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,936,Firearms crime,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,625,Forensic science service,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,97,Housing crime support,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,99,Housing estate safety,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,98,Housing nuisance,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,928,Public disorder incidents,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,950,Shotgun certificates,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,626,Sudden death investigations,Service,Crime and justice
20,Police services,,4/3/13,4/3/13,,Function,16,Community safety,contains,863,Vetting of contract and supplier staff,Service,Crime and justice
22,Youth offending,,4/3/13,4/3/13,,Function,16,Community safety,contains,1694,Child safety orders,Service,Crime and justice
22,Youth offending,,4/3/13,4/3/13,,Function,16,Community safety,contains,1095,Children's Hearings - Supervision Requirement,Service,Crime and justice
22,Youth offending,,4/3/13,4/3/13,,Function,16,Community safety,contains,175,Parenting orders,Service,Crime and justice
22,Youth offending,,4/3/13,4/3/13,,Function,16,Community safety,contains,836,Referral orders,Service,Crime and justice
22,Youth offending,,4/3/13,4/3/13,,Function,16,Community safety,contains,177,Reparation orders,Service,Crime and justice
22,Youth offending,,4/3/13,4/3/13,,Function,16,Community safety,contains,176,Youth court procedures,Service,Crime and justice
22,Youth offending,,4/3/13,4/3/13,,Function,16,Community safety,contains,173,Youth justice - final warning,Service,Crime and justice
